x,y,z
0.372162,0.122206,-3.067713
1.417437,0.171335,-4.724759
0.538428,-0.202366,-4.819633
0.522309,0.125921,-3.242729
1.378639,0.164254,-4.504638
0.551324,0.201769,-4.882597
0.549626,-0.133793,-4.886065
0.306843,0.119560,-2.936404
1.685782,-0.465642,-4.552299
0.322903,0.118258,-2.882250
1.345636,0.125095,-4.910119
0.548864,0.134682,-4.774655
0.397143,0.211909,-5.379747
0.370087,0.121093,-3.063318
0.343029,0.120098,-2.977669
0.263391,0.123089,-2.976018
0.552995,0.339236,-4.829350
-0.091883,0.160018,-4.946158
0.351880,0.118342,-2.980050
0.355025,0.119309,-2.983156
0.356409,0.117669,-2.959944
-0.110360,0.509708,-9.337983
1.751739,-0.491004,-4.601625
0.549336,0.038510,-4.849496
-0.070764,0.175803,-4.834041
-0.086386,0.184890,-4.982484
0.283912,0.119881,-2.873004
0.282024,0.120988,-2.930809
0.301548,0.119668,-2.908542
0.968839,0.129613,-4.829889
1.576839,0.159527,-4.640217
0.524933,0.126519,-3.204957
0.339812,0.123463,-2.968709
0.232692,0.122628,-2.942942
0.281320,0.120616,-2.929078
0.326043,0.118907,-2.871765
0.308644,0.118925,-2.874593
0.300602,0.117704,-2.875686
1.545199,-0.479753,-4.609057
-1.967008,0.092642,-0.947884
-0.479135,0.156775,-2.472998
-0.349740,-0.177313,-2.170494
-0.349694,0.097184,-2.139724
-0.320245,-0.027421,-1.985945
-0.290343,0.161373,-2.127895
-0.327918,-0.145914,-2.174211
-0.349675,-0.147701,-2.169540
-0.342769,0.182073,-2.198083
-0.357852,0.130873,-1.971447
0.114148,0.125507,-2.911976
1.411211,0.152797,-4.883832
0.132512,0.123792,-2.923698
0.123979,0.124927,-2.915699
0.221060,0.120368,-2.802367
1.546206,-0.081817,-4.541863
0.264994,0.121629,-2.827982
1.302162,-0.720415,-4.879647
0.232920,0.119144,-2.780905
0.130384,0.121252,-2.788882
-0.405698,0.331095,-4.862521
1.216989,0.154307,-4.823980
0.136480,0.122911,-2.846706
0.260313,0.117860,-2.815479
0.231417,0.117787,-2.736355
0.188754,0.123380,-2.844156
1.007478,0.176739,-4.854871
-0.366857,0.013253,-4.891289
0.264109,0.120371,-2.826344
0.148133,0.122779,-2.769440
0.197257,0.118579,-2.732805
0.182539,0.119060,-2.750961
-0.162371,0.168415,-5.206653
1.677151,-0.091981,-4.658424
0.231960,0.118476,-2.737752
-0.302271,0.112025,-4.821360
-1.236265,-0.387020,-1.370092
0.605660,0.182108,-4.839755
-1.779185,0.129727,-1.056170
0.195380,0.104781,-2.333953
-8.055994,0.624951,-4.460959
0.672022,0.146953,-4.873243
-2.878382,-0.346752,-0.901997
-0.339903,0.139407,-2.060794
0.567013,0.020074,-2.193271
1.298600,0.123130,-4.814903
1.938072,-0.293002,-4.620185
1.358116,0.357209,-4.601856
-0.701187,-0.538417,-1.679685
0.762144,-1.895746,-9.385094
0.546898,-0.596420,-4.946655
-0.402843,0.410047,-4.730497
1.580092,0.358441,-4.595177
0.549037,0.291843,-4.805416
0.810141,-2.322127,-11.589257
0.105893,0.104222,-2.051393
-0.065222,0.109325,-2.011464
0.122688,0.106444,-2.105606
