frame_id,x,y,z,yaw
1044,-2.28582,-0.018331,0.287611,3.08859
1033,-2.29215,-0.0210483,0.359582,3.09372
1041,-2.28926,-0.0186965,0.309204,3.09394
1038,-2.29127,-0.0196341,0.330284,3.09521
1057,-2.2689,-0.0160099,0.211136,3.08849
1059,-2.26688,-0.0158278,0.199563,3.08938
1053,-2.27446,-0.0166785,0.231263,3.09113
1065,-2.25613,-0.0156381,0.167915,3.08671
1069,-2.24914,-0.0138239,0.148405,3.08525
1051,-2.27655,-0.0170998,0.244404,3.09003
1496,-0.158546,-0.042202,0.946887,0.0218959
1505,-0.113301,-0.0457974,0.984164,0.028878
1507,-0.0990378,-0.0466251,0.993735,0.0314745
1502,-0.129138,-0.0449026,0.970559,0.027482
1504,-0.117228,-0.045485,0.980781,0.0245057
1510,-0.0864856,-0.0473793,1.00278,0.0348502
1506,-0.108158,-0.0459818,0.986794,0.0337976
1509,-0.0917075,-0.0475701,0.999989,0.0314459
1511,-0.0763494,-0.0481265,1.00956,0.0342064
1513,-0.068931,-0.0492152,1.01503,0.0358064
1533,0.0529294,-0.0538263,1.08838,0.0396963
1521,-0.0249734,-0.0511559,1.04445,0.0454645
1516,-0.0513101,-0.0501606,1.02691,0.0332698
1544,0.123235,-0.0591119,1.12371,0.0490091
1531,0.0361857,-0.0553369,1.0794,0.0426269
1526,0.00567507,-0.054069,1.06233,0.0389355
1547,0.143709,-0.0606623,1.13498,0.0487025
1556,0.190172,-0.0639559,1.16917,0.0470945
1558,0.206052,-0.0663023,1.17835,0.0503353
1551,0.165364,-0.0619107,1.15037,0.0452357
1554,0.183987,-0.0644382,1.16201,0.0496848
1566,0.252985,-0.0673903,1.20878,0.0462814
1575,0.299599,-0.0697661,1.24232,0.0522824
1570,0.273776,-0.0683422,1.22383,0.0471255
1568,0.264399,-0.0677868,1.21922,0.0481235
1595,0.41611,-0.0770101,1.32403,0.054286
1588,0.377175,-0.0743789,1.29525,0.0595947
1580,0.32996,-0.0712986,1.26428,0.0550181
1604,0.466025,-0.0801298,1.35595,0.0625385
1611,0.507445,-0.083025,1.38761,0.0606356
1621,0.56904,-0.0845985,1.42903,0.0614204
1631,0.634583,-0.089247,1.47544,0.0609232
1651,0.759608,-0.0969445,1.56119,0.0571358
1642,0.705389,-0.0930047,1.52274,0.0599771
