x,y,z
2.684870,-0.317012,-0.237656
2.768334,-0.178604,-0.125796
0.398480,-0.139031,2.069335
-1.364298,-0.249997,2.639428
-3.460859,-0.883645,4.510551
1.944861,-0.431436,3.532074
1.720422,-0.377823,-2.086129
2.879078,-0.560778,-2.015343
0.042812,-0.152585,2.158019
0.045902,-0.455665,2.184929
0.244611,-0.234012,2.124351
-1.988578,-0.508829,4.601171
-1.561065,-0.528192,4.342517
-0.732049,-0.631045,3.951175
0.007026,-0.117379,2.163635
0.052251,-0.432623,2.113904
0.043110,-0.144286,2.125525
0.101098,-0.385684,2.086629
-0.238222,-0.327719,2.110259
0.238319,-0.472820,2.184181
-0.953942,-0.021874,2.249121
-3.601502,-0.008152,3.329832
-1.551932,-0.800372,2.576458
-0.663853,-0.134091,4.171202
-4.173406,-0.673127,3.592348
-0.141973,-0.157550,1.968493
-0.303744,0.050237,0.524153
0.857875,-0.158617,3.978699
0.401208,-0.342271,2.088850
2.917838,-0.218817,0.480882
2.892950,-0.011525,0.183434
2.937977,-0.046394,0.989339
2.933954,-0.018352,0.288937
2.886223,-0.210685,0.400819
2.870738,-0.018699,0.513692
2.962991,-0.016682,0.352883
2.902930,-0.010100,0.204454
2.956546,-0.208046,0.229859
2.910598,-0.205987,0.288614
2.899664,-0.026684,0.427706
2.902318,-0.211044,0.496694
2.206704,-0.043862,1.079248
2.873745,-0.037782,0.810530
2.921618,-0.327659,0.806263
2.270224,-0.045795,1.062707
2.223333,-0.042908,1.057816
2.220449,-0.043125,1.058102
2.927299,-0.242086,0.998371
2.956647,-0.018235,0.359020
-1.661358,-0.987293,4.223238
-1.275437,-0.607963,2.675245
0.026217,-1.416435,3.867423
-1.515156,-0.735915,4.227072
0.140320,-0.612953,2.117993
0.037347,-0.597699,2.074776
0.975145,-1.356399,4.117221
-1.700874,-0.293639,4.293588
0.474553,-0.530334,2.341711
-0.050871,0.039067,0.518953
1.054013,-0.422909,4.219680
-1.503459,-0.689331,4.196056
-0.902601,-0.424743,4.125541
-0.802344,-0.244102,3.415941
-1.516630,-1.095720,4.202053
0.069923,-0.060304,2.201232
-0.222387,-0.038338,2.195591
0.050748,-0.002746,1.372294
0.055474,-0.392789,2.114077
-0.006568,0.012610,1.113424
1.323023,-1.117300,4.667840
-1.647842,-0.400422,3.722900
-1.638487,-0.689899,4.082447
1.244882,-1.411189,4.122061
-1.483307,-0.581801,4.157412
0.869536,-0.448425,3.976102
0.137383,-0.253002,2.113808
-1.321012,-0.176893,3.989602
0.874119,-1.428066,4.347969
0.048402,0.041696,0.351934
0.481783,-0.593176,2.437171
0.027120,0.042812,0.338095
0.063797,0.030872,0.564159
0.050572,0.039670,0.432063
0.028757,0.041354,0.404274
3.190168,-1.283091,4.069469
2.917812,-0.688046,2.205008
