frame_id,x,y,z,yaw
949,3.57019,0.0160934,-4.74188,2.74556
950,3.59013,0.01531,-4.74377,2.7318
955,3.67118,0.0149484,-4.74933,2.67931
961,3.78141,0.0116268,-4.75615,2.49311
959,3.74497,0.0123829,-4.75649,2.57068
1079,5.72917,-0.0339689,-4.6323,0.346456
968,3.89801,0.00991904,-4.75156,1.81405
962,3.80012,0.0110288,-4.75587,2.43863
960,3.7654,0.0120486,-4.75601,2.53734
966,3.87283,0.0106751,-4.7555,2.05046
967,3.88181,0.0106576,-4.75299,1.95275
974,3.99782,0.00867441,-4.74852,1.46701
995,4.35522,-0.00118639,-4.74956,1.2541
988,4.2334,0.000817744,-4.74918,1.27681
977,4.05516,0.00771345,-4.7512,1.42545
983,4.15386,0.00401899,-4.75062,1.39938
982,4.13586,0.00483933,-4.75084,1.40634
996,4.36876,-0.00180288,-4.74958,1.25524
993,4.32189,-0.000385748,-4.74981,1.25004
984,4.16506,0.00216189,-4.75031,1.34932
990,4.26681,-0.000114668,-4.74893,1.25661
1008,4.57306,-0.00777363,-4.74058,0.802324
1005,4.51944,-0.00729097,-4.74611,1.13448
1009,4.58776,-0.00916567,-4.73775,0.71161
1006,4.53072,-0.00929497,-4.7448,1.05855
1012,4.64041,-0.0110311,-4.73065,0.538448
1017,4.72259,-0.0122867,-4.72341,0.488266
1015,4.69298,-0.0118538,-4.72521,0.489721
1011,4.6255,-0.0108088,-4.7322,0.589831
1018,4.73486,-0.0126037,-4.7207,0.476607
1030,4.92477,-0.0193896,-4.70629,0.477682
1022,4.8065,-0.0150798,-4.71861,0.469257
1025,4.85143,-0.0166908,-4.71432,0.46523
1043,5.14327,-0.0268884,-4.69277,0.466354
1037,5.04252,-0.0235722,-4.69976,0.4564
1020,4.77188,-0.0138691,-4.71974,0.484059
1042,5.12411,-0.0258835,-4.69425,0.458534
1038,5.0617,-0.0239075,-4.69848,0.449962
1033,4.9788,-0.0203873,-4.70365,0.473374
1032,4.9606,-0.0201243,-4.70529,0.47488
1040,5.09595,-0.0251651,-4.69597,0.460548
1082,5.77887,-0.0365051,-4.6282,0.338998
1084,5.81217,-0.037862,-4.62537,0.354273
1045,5.171,-0.0282759,-4.6888,0.476249
1072,5.61979,-0.0426276,-4.64947,0.361536
1085,5.82576,-0.0387439,-4.62396,0.327429
1083,5.79276,-0.0369066,-4.62722,0.349183
1080,5.74665,-0.035276,-4.63042,0.345445
1089,5.89231,-0.0407783,-4.61768,0.332261
1086,5.84407,-0.0393112,-4.62234,0.353085
1088,5.87709,-0.0403982,-4.61893,0.331235
1087,5.85857,-0.0397874,-4.62085,0.343906
1090,5.91083,-0.0418371,-4.61635,0.340524
1092,5.94586,-0.0425472,-4.61293,0.345072
1091,5.92596,-0.0420817,-4.61481,0.336599
1094,5.97819,-0.0437133,-4.61006,0.32992
1095,5.99721,-0.0443112,-4.6083,0.32801
1093,5.96338,-0.0437729,-4.61105,0.323885
1099,6.06261,-0.0471152,-4.60215,0.325522
1098,6.04878,-0.0466963,-4.60352,0.333373
1096,6.01669,-0.0451656,-4.60617,0.31579
1097,6.03079,-0.0459655,-4.60548,0.341196
1101,6.09556,-0.0480577,-4.5988,0.334822
1100,6.08008,-0.0479689,-4.60056,0.334253
1103,6.13039,-0.0494768,-4.5951,0.337364
1105,6.16211,-0.0510187,-4.59268,0.346918
1102,6.11503,-0.0488996,-4.59697,0.334519
1109,6.22991,-0.0527276,-4.58639,0.352282
1106,6.18193,-0.051784,-4.59061,0.353495
1104,6.14815,-0.0506268,-4.59371,0.332842
1108,6.21433,-0.0526309,-4.58827,0.376023
1112,6.28149,-0.0545012,-4.58077,0.348868
1111,6.26227,-0.0539775,-4.58314,0.35172
1107,6.19539,-0.0515478,-4.58985,0.367485
1110,6.24914,-0.0533387,-4.58413,0.347209
1114,6.31463,-0.0556156,-4.57752,0.345263
1116,6.34791,-0.0572871,-4.57404,0.351143
1115,6.33045,-0.056274,-4.57581,0.364612
1113,6.2946,-0.0551751,-4.57928,0.329016
1119,6.39667,-0.0584351,-4.56875,0.353335
