x,y,z
1.119460,0.365749,-0.710663
1.119423,0.346591,-0.545125
1.126087,0.349313,-0.547943
1.147967,0.267598,-0.510000
1.116756,0.343014,-0.542601
1.097133,0.332430,-0.538105
1.101660,0.280096,-0.523490
1.126091,0.313629,-0.564849
1.165574,0.334937,-0.522319
1.088501,0.356591,-0.529166
1.152718,0.310292,-0.460139
1.021642,0.368117,-0.573484
1.029653,0.354829,-0.500848
1.008890,0.376975,-0.609193
0.971097,0.381803,-0.629727
1.004956,0.355687,-0.456361
1.011757,0.358025,-0.457927
0.999691,0.353734,-0.456156
0.973585,0.380218,-0.551997
0.972850,0.378993,-0.551941
0.964327,0.374650,-0.547830
0.969542,0.376673,-0.549096
0.958989,-0.154634,-0.405594
0.919963,0.007885,-0.364218
0.869464,0.178585,-0.365320
0.869277,0.214175,-0.289994
0.850028,0.258177,-0.347941
1.179325,0.235125,-0.522475
0.927938,-0.061050,-0.417186
1.023099,0.361820,-0.461448
0.664408,-0.020868,0.269192
0.717445,0.066075,0.179390
0.879908,0.282778,-0.031731
0.746542,-0.089706,0.181339
0.661935,-0.012625,0.272841
0.633887,-0.017210,0.302653
0.648956,0.095828,0.255605
0.672711,0.121865,0.201128
0.729457,0.064272,0.174409
0.659696,-0.029776,0.267304
0.650111,0.039159,0.260194
0.754458,0.018361,0.147471
0.714358,-0.112754,0.223865
0.723527,0.058133,0.156404
0.672763,-0.173574,0.304400
0.678272,-0.087656,0.268195
0.639990,0.004265,0.281100
0.717648,-0.090444,0.209921
0.629140,-0.036669,0.308947
0.630572,-0.026669,0.301092
0.587911,0.084957,0.320145
0.653513,-0.051040,0.283710
0.742039,-0.125052,0.191296
0.755518,-0.124140,0.183642
0.661674,0.086118,0.216606
0.627262,0.072145,0.291296
0.678430,-0.087149,0.267654
0.628789,-0.036312,0.307881
0.766464,-0.026730,0.153780
0.753745,-0.085160,0.172229
0.719127,0.179608,0.139800
0.899230,0.050922,-0.031793
0.638474,-0.039354,0.294422
